id,genres,imdbRating,weighting
5bc6857515307d543319ba5b,Drama*Sci-Fi,7.7,25.7
5bc6857615307d543319ba5c,Crime*Drama*History,7.4,30.4
5bc6857715307d543319ba5d,Western,6.2,7.2
5bc6857815307d543319ba5e,Drama*Romance,7.3,28.3
5bc6857915307d543319ba5f,Comedy*History,7.2,20.2
5bc6857a15307d543319ba60,Crime*Drama*Horror,6.6,31.6
5bc6857b15307d543319ba61,Documentary*Biography*History,7.8,15.8
5bc6857c15307d543319ba62,Comedy,5.5,16.5
5bc6857c15307d543319ba63,Drama,7.1,23.1
5bc6857d15307d543319ba64,Comedy*Western*Adventure,6.6,22.6
5bc6857e15307d543319ba65,Comedy*Drama,6,33.0
5bc6858015307d543319ba66,Documentary*Biography,7.8,13.8
5bc6858115307d543319ba67,Action*Crime*Sci-Fi,7.1,19.1
5bc6858215307d543319ba68,Drama,6.2,22.2
5bc6858315307d543319ba69,Drama*Thriller,6.6,27.6
5bc6858315307d543319ba6a,Comedy*Drama,5.9,32.9
5bc6858415307d543319ba6b,Comedy*Romance,5.5,21.5
5bc6858515307d543319ba6c,Comedy*Romance,7,23.0
5bc6858615307d543319ba6d,Documentary,6.5,10.5
5bc6858815307d543319ba6e,Documentary,None,9
5bc6858915307d543319ba6f,Documentary*Music,8.3,14.3
5bc6858a15307d543319ba70,Comedy,6.7,17.7
5bc6858b15307d543319ba71,Comedy*Thriller*Action,6,27.0
5bc6858c15307d543319ba72,Adventure*Musical*Fantasy,6.4,13.4
5bc6858c15307d543319ba73,Horror,5.2,9.2
5bc6858e15307d543319ba74,Comedy,5.7,16.7
5bc6858f15307d543319ba75,Crime*Thriller,5.7,15.7
5bc6859015307d543319ba76,Adventure*Comedy*Drama,6.9,37.9
5bc6859215307d543319ba77,Crime*Drama,7.9,28.9
5bc6859315307d543319ba78,Crime*Drama*Thriller,4.5,30.5
5bc6859415307d543319ba79,Action*Crime*Drama,7.6,33.6
5bc6859415307d543319ba7a,Musical*Western,6.8,8.8
5bc6859515307d543319ba7b,Horror*Thriller,5.8,14.8
5bc6859615307d543319ba7c,Documentary,7.1,11.1
5bc6859715307d543319ba7d,Comedy*Drama*Romance,6,38.0
5bc6859815307d543319ba7e,Drama*Romance,8,29.0
5bc6859815307d543319ba7f,None,7.2,7.2
5bc6859a15307d543319ba80,Drama*Fantasy,7.1,25.1
5bc6859b15307d543319ba81,Documentary*Sport,7.1,12.1
5bc6859b15307d543319ba82,Comedy*Drama,6.7,33.7
5bc6859c15307d543319ba83,Adventure*Drama*Thriller,6.8,31.8
5bc6859d15307d543319ba84,Documentary,6.6,10.6
5bc6859e15307d543319ba85,Drama*Music,5.7,23.7
